T01	3m20cm-3m10cm-□mm=5mm	□kg=95000g
750	□km=65km	80kg167g268mg-□kg-13205268mg=1kg962g
751	6分22秒-□秒-2分=2分	13708940秒-12日5時間58分20秒-□日=4日10時間4分
752	12057480秒+14238120秒-45日8時間20分=□日	231200mg+□g+237480mg=727680mg
753	2625780秒+□日+42日20時間45分36秒=14278116秒	19cm2mm-□mm=10cm
754	□g+12000mg+50mg=87050mg	14546901秒-59日1時間10分-34日7時間38分21秒=□日
755	14562338秒-34日4時間18分-□日=4092458秒	188時間+1977時間-□日=3日5時間
756	614mm+1m-934mm=□cm	□kg+14713840mg+27kg907g890mg=110kg621g730mg
757	14909530cm-□km=21km95m30cm	4分56秒-□秒-2分=48秒
758	□日+3984378秒=14957178秒	367日-□日=240日
759	330km-□km=143km	15353700cm+33km771m3cm-□km=308m3cm
760	□日+739968秒+53日4時間11分36秒=15961464秒	10日3時間28分-□時間=5日28分
761	1000cm+97m-21m=□m	16156500cm-5586400cm-□km=19km701m
762	731日22時間48分+16291056秒-□日=169日12時間5分36秒	1751m-□m=1000m
763	16669368秒+684000秒-□日=98日20時間22分48秒	□時間+3日23時間32分=8日5時間32分
764	677日11時間12分-□日=16801920秒	3199968秒-□時間=1461168秒
765	525196秒+11339856秒-□日=4434652秒	17421301cm-□km-29km950m=58km263m1cm
766	□km=5832km	19614792秒+36日22時間35分-□時間=20日23時間8分12秒
767	9km630m+725552cm-□m=610752cm	1723472mg+7136000mg+□g=19637472mg
768	848日19時間29分36秒-166日4時間35分36秒-20012040秒=□日	970358g-439kg328g-80030g=□kg
769	20114760秒-101日3時間48分24秒-□日=2043456秒	78m30cm+□m+73m20cm=259m50cm
770	333日4時間42分48秒+142日14分-20228208秒=□時間	249024時間+915日-5505日=□日
771	206870mg-□g=71g870mg	20453980cm-42km857m80cm-□km=2668200cm
772	400mm+□cm+960mm=2650mm	20670310cm-□km=77km703m10cm
773	8370310秒+□日=20984710秒	65cm+1m11cm7mm+□cm=3m22cm7mm
774	21397799秒-□日=34日15時間49分59秒	1kg+□g=1213g
775	602日5時間50分7秒-22162020秒-668587秒=□日	17日16時間+1日-4日14時間=□時間
776	15355920秒+22705560秒-□日=174日12時間38分	□mg+1g=1g266mg
777	23070000mg-7685200mg-3384800mg=□kg	3日12時間48分+1日23時間23分-43860秒=□時間
778	10562495cm+□km+20km675m10cm=23230005cm	39729kg357g280mg-6592344800mg-□kg=7697kg12g480mg
779	□km+1km506m80cm=23506800mm	49g940mg-16g940mg-11g=□g
780	1g+1g-□mg=1g779mg	23598910cm+11644832cm-13143742cm=□km
781	1413g+53300g+□kg=249kg713g	23708760秒-□日=79日9時間46分
782	83秒-□秒=1分	7kg495g918mg+24287000mg-8kg782g918mg=□kg
783	881g573mg-□g=369573mg	25200950mm+177km230m97cm+□km=714km431m92cm
784	25885176秒+54日10時間16分48秒-□時間=144日36分24秒	3560kg+5934kg215g-□kg=4454kg215g
785	24日+□日+7日=50日	26553000mg-□kg=7kg553g
786	665km119m10cm-□km=26611910cm	622kg+100kg-□kg=323kg
787	554km299m84cm+14408200cm-27038184cm=□km	21km+725500m-318500m=□km
788	750186mm-□m-95426mm=149760mm	121km840m+27707800cm+□km=903km918m
789	27931272秒+565日12時間3分-□日=215日18時間44分12秒	1534125g-203kg-658kg125g=□kg
790	333kg303g220mg-□kg=28303220mg	21492秒-□分=53分12秒
791	748mg-200mg-200mg=□mg	720日22時間23分49秒-35日9時間42分58秒-29162451秒=□日
792	□日=29721600秒	588g485mg-134090mg-□g=110395mg
793	954000cm+□m=2430200cm	□kg+8265kg400g+7264kg300g=30291700g
794	8155132cm-19km216m60cm-23km994m72cm=□m	30556000m+35533km-27749km=□km
795	□m+392000mm=898000mm	899km752m10cm-30616000cm-87km592m10cm=□km
796	31318000mg+□kg+32kg938g=111kg256g	720時間+□日+10日=87日
797	624kg525g937mg-□kg-208kg822g647mg=31703290mg	24日16時間30分-□時間=8日16時間30分
798	2m17cm-□mm-1m=1m	13906050cm+□km+20km498m33cm=32955883cm
799	□m+117m=312m	□km+136km590m=33159000cm
800	□m+460m=930m	33220780cm+24948382cm-111km691m62cm=□km
801	35076937mg-□kg=6076937mg	6000mg+36g667mg-13667mg=□g
802	948日1時間38分24秒+281日3時間2分-35095224秒=□日	16560秒+75300秒-□分=42480秒
803	27日12時間+2日11時間38分-□時間=10日7時間38分	□km+36151000cm+442km659m70cm=1276km169m70cm
804	970737mg-248g137mg-□g=327g600mg	874km698m35cm-□km-103km529m=37616935cm
805	□日+36日16時間20分+66日14時間=431日6時間20分	518kg460g100mg-□kg-152kg842g200mg=37617900mg
806	49408日3時間+22735日-□日=489555時間	37936255mm+16306000mm-2km497m25cm5mm=□m
807	8568250秒+68日15時間5分35秒+□日=39380985秒	59km+248km-19km=□km
808	1263g-100g-1kg=□g	137kg458g440mg+40228628mg-14kg687g68mg=□kg
809	□g+230794mg=712794mg	329kg83g+193kg221g381mg-□kg=40304381mg
810	51kg=□kg	23kg479g500mg+68kg485g-□kg=40964500mg
811	1292日2時間30分42秒-□日-316日23時間11分6秒=41829576秒	240日+289日-□日=38日
812	□日+66日18時間52分+15363720秒=41956440秒	523日4時間28分51秒-230日16時間9分20秒-□日=4450771秒
813	□km+240km+1000km=1517km	5km574m+□km+138km789m80cm=42136380cm
814	□日+43077720秒=1129日14時間2分	1403km500m-□km-437500m=335km
815	□km+140000m+124km272m=503272m	61日19時間22分7秒+198日21時間1分12秒+□日=43172599秒
816	609kg-40kg-□kg=181kg	4493800cm+□km=43293800cm
817	7kg73g400mg+□kg+44800840mg=111kg874g240mg	□km+40800m+55km670m=156km470m
818	10556750mg+□kg+45452000mg=152kg8g750mg	25020分+119229分+□日=196日4時間9分
819	27日12時間+288時間+□日=2292時間	45808386mg+41633040mg-□kg=31kg441g426mg
820	4167640cm+1333km618m29cm-□km=45929469cm	400kg+200kg+□kg=1516kg
821	84cm+5m35cm6mm-2226mm=□cm	46826930cm-□km=7126930cm
822	19470mm-5000mm-□cm=7100mm	48202000cm+146km965m50cm+□km=1365km985m50cm
823	48490680秒-15644616秒-□日=14356464秒	□kg+77kg757g=291757g
824	350m90cm-□m-41m90cm=3000cm	159km57m+49km979m90cm+□km=48803690cm
825	49055980mg-9216330mg-□kg=16kg839g650mg	18時間28分+13時間56分-□時間=564分
826	49431000mm+27km917m20cm-□km=28km348m20cm	102kg109g540mg-□kg-9158000mg=43951540mg
827	□秒+24秒+18秒=1分21秒	10853260mg+□kg=49853260mg
828	44日22時間53分19秒+50146440秒-103日8時間27分19秒=□日	1066920分-198360分-116880分=□日
829	503050m-□km=142km50m	50698125秒-182日14時間28分-3730845秒=□日
830	238kg640g+50987230mg-140kg627g230mg=□kg	203400分+217080分-□日=205920分
831	□kg+30839g=80kg839g	□km+1km691m90cm=51691900mm
832	172kg576g64mg-□kg-51701030mg=46875034mg	46分+4200秒+□分=3時間10分
833	182kg649g257mg-□kg-53kg860g657mg=51788600mg	28km260m+□km+36km802m65cm=142km62m65cm
834	1836377分-□日=466日6時間17分	328km455m70cm+54716110cm-66km616m80cm=□km
835	14140650cm+□km+2817817cm=56458467cm	1000kg+□kg=1395kg
836	130日16時間19分36秒+□日+13361496秒=58089072秒	□日=9288時間
837	90kg11g410mg+□kg+59705000mg=245kg716g410mg	1139cm-1000cm-□cm=43cm
838	61911269cm+360km447m49cm-178km560m18cm=□km	41日8時間12分-3時間12分-□時間=11280分
839	63342000cm+104km560m-□km=358km980m	78分+□分+120分=9時間37分
840	63638631cm+□km+259km726m34cm=1559km112m65cm	1km236m-110m-□m=463m
841	□km+27656756cm=63856756cm	111mg+1000mg-749mg=□mg
842	□kg+341kg485g=765kg485g	64158400秒-□日-68日6時間19分51秒=21626809秒
843	40992分+15日12時間-□時間=19992分	108km980m+64161806cm-□km=28km598m6cm
844	18060cm-□m=76m60cm	191kg546g488mg-67666488mg-□kg=19kg880g
845	366400mg-□g=53g400mg	69196980秒-184日4時間16分-□日=303日17時間7分
846	70663340mm+□km=359km663m34cm	□km+151km=440km
847	73434200cm+5km373m57cm-□km=20771557cm	359kg500g+267800g-95300g=□kg
848	74300256mg-12kg291g256mg-9009000mg=□kg	48kg759g600mg+43kg478g600mg-39kg238g200mg=□kg
849	13020mm-5000mm-□cm=2m	483km922m80cm+197km159m-□km=79081800mm
850	79405626cm-20398446cm-□km=132km71m80cm	500kg+300kg-□kg=342kg
851	80663060秒+24948552秒-□日=44440412秒	6日17時間1分+29日7時間30分48秒+□時間=65日12時間31分48秒
852	81911470cm-□km=40911470cm	1g+230mg-□mg=820mg
853	131g+28g-48g=□g	84017210mg+43kg654g-□kg=16kg671g210mg
854	1767mm+□cm+3m=9007mm	288日4時間22分+23563440秒+□日=85095960秒
855	17550240秒-□日=95日3時間4分	24807300mg+85103641mg+□kg=217kg910g941mg
856	205kg719g100mg+92918650mg+□kg=658kg637g750mg	360kg=□kg
857	315km280m+30752450cm-□km=244km804m50cm	373km437m50cm+17884170cm+□km=93027920cm
858	74173日12時間+37562日12時間-46600日=□日	17513kg796g+□kg+15753kg=98402796g
859	329kg675g380mg-83kg843g800mg-105831580mg=□kg	271g721mg-10g-□g=121721mg
860	106470000cm+18km721m10cm-436km421m10cm=□km	□日+281日11時間=928日11時間
861	219km489m70cm+32323925cm+□km=108272895cm	□m+220m+13m=773m
862	□日+169日15時間56分51秒+42705657秒=109118268秒	1223日-240日-□日=384日
863	6m87cm9mm+74m20cm-□m=25m7cm9mm	24143000mg+□kg+35kg111g400mg=115254400mg
864	1m+10cm+□mm=1171mm	116150800mm-□km-33km852m80cm=11298000mm
865	45kg820g723mg+58790700mg-□kg=29611423mg	116939436mm+27km985m70cm-□km=69km925m13cm6mm
866	46kg+68kg+□kg=217000g	63km830m53cm+119618000mm-80km448m53cm=□km
867	432kg631g670mg-□kg=121631670mg	801分-□分-274分=3時間36分
868	122954383mm+256km515m40cm-43km469m78cm3mm=□km	□km+7377005cm=409km770m5cm
869	243kg737g940mg+94kg345g913mg-□kg=124083853mg	115km877m+□km=329km877m
870	75日+360日-86日=□日	179kg385g980mg+298kg114g300mg-□kg=128500280mg
871	264km317m-□m=128753000mm	135564g=□g
872	360日+□日=1092日	128863647cm-45410400cm-10253247cm=□km
873	229745mm+38m-□m=130745mm	131716030mm+□km=268km716m3cm
874	50kg210g+135632500mg-60842500mg=□kg	□kg+63000g+49kg=237000g
875	90984000mg+143143540mg-□kg=88127540mg	18000g+□kg=164000g
876	□kg+76kg331g126mg+2696640mg=157027766mg	□km+52km128m+5316770cm=18329570cm
877	62833427秒+□日+279日50分22秒=157703649秒	388日15時間58分+24196200秒+□日=128538480秒
878	158704381mg+184kg324g-145kg28g381mg=□kg	467kg-188kg-81kg=□kg
879	1429km496m-□km-437km366m=462km130m	509kg283g810mg+183kg509g300mg-162793110mg=□kg
880	66962785mg+□kg=172962785mg	5日16時間11分36秒+157日10時間19分40秒-4933876秒=□日
881	4時間25分=□分	173198400mm+130812000mm-□km=39km10m40cm
882	88km+117km-□km=71000m	176527990mm+18377000mm-□km=60904990mm
883	□日+80日+298時間=192日10時間	77kg313g+□kg=177313000mg
884	24862635秒+3512520秒-□日=10663155秒	463km923m80cm-79km38m70cm-□km=179885100mm
885	180141900mm+□km+39860540mm=593km2m44cm	10m+40cm+□cm=1413cm
886	□km+22km512m+76km871m60cm=181383600mm	2235分+2日20時間-□時間=23時間15分
887	183085350mm+59km143m-99km228m35cm=□km	24秒+2分-1秒=□秒
888	90kg472g+□kg+186382000mg=482kg854g	3828km629m98cm-□km-1023km410m=745km219m98cm
889	11km568m+189402580mm+□km=440km970m58cm	21時間36分+□時間=1日21時間36分
890	1196kg-□kg=1000kg	191430000mm+□km+64826858mm=452km256m85cm8mm
891	□日+72610日=181525日	195076600mg-18kg564g900mg-□g=67596700mg
892	78日6時間54分+□日=565日6時間54分	1070km954m71cm-385km383m71cm-198571000mm=□km
893	1440mm+1m72cm6mm+□cm=5m64cm6mm	□km+199897508mm+245km151m43cm=693km48m93cm8mm
894	28162000mm+□km=204162000mm	1000kg+1000kg+□kg=2176kg
895	594kg547g30mg-□kg-204743000mg=89kg804g30mg	□m+2m+173700mm=475m70cm
896	1時間25分36秒+4時間4分24秒-4920秒=□分	457km113m73cm+228000mm-209341730mm=□km
897	□m+55m+57m74cm=39274cm	□kg+27000mg+215363062mg=495kg390g62mg
898	219504186mg-□kg=69504186mg	6日6時間=□時間
899	221753700mm-□km=82753700mm	3日15時間50分+□時間+4日13時間32分24秒=14日22分24秒
900	□m+18588cm+18000cm=59288cm	223695647mm+165125257mm-□km=161820904mm
901	225665360mg-1421960mg-64kg243g400mg=□kg	674280秒+4日2分40秒-□時間=444040秒
902	□kg+103491980mg=235491980mg	1194cm-□cm-62cm=10m
903	242000000mm=□km	425058m+37km400m-220458m=□km
904	80g+1kg-918g=□g	82kg291g+□kg+620g=244911000mg
905	245738513mg+162901700mg-□kg=80kg640g213mg	1000g+□g=1kg328g
906	251253660mm+4214870mm-□km=126468530mm	□g+100g=229g
907	2日12時間+5日10時間-2日18時間=□時間	251432100mg-□kg-30kg32g100mg=97kg400g
908	260000000mg=□kg	□kg+84901900mg=344kg901g900mg
909	□kg+266101020mg+411kg187g200mg=1113kg288g220mg	□m=436m
910	□km+78km751m=267751000mm	151910m+160km992m-123km902m=□km
911	20400cm+112m87cm-□m=88m87cm	166885600mg+271426000mg-210311600mg=□kg
912	274802040mg-□kg=124kg802g40mg	1000km+38km-888km=□km
913	176403084mg+275334000mg-□kg=184737084mg	1680時間+10680時間-□日=5952時間
914	275799166mg-□kg=13799166mg	322日+120日-□日=180日
915	30kg785g200mg+300975800mg-□kg=116761000mg	4m74cm4mm-□cm-594mm=2m
916	547日=□日	653kg785g+205kg305g555mg-312090555mg=□kg
917	284147670mg+313174200mg-□kg=185321870mg	31日8時間-□時間-8時間=19920分
918	1000g+□g+100g=1kg221g	323524480mg-97kg101g25mg-□kg=105423455mg
919	19225000cm+□km+17372060cm=715km970m60cm	679km65m-□km=329065000mm
920	307115m-32km-□km=100115m	155777700mg+□kg=330777700mg
921	2000mm+□cm+2m19cm2mm=6422mm	334390000mg-□kg=111390000mg
922	162800220mg+337239902mg-□kg=60kg40g122mg	1000kg+27kg-587kg=□kg
923	20cm+□mm=65cm1mm	□kg+348912000mg+40kg596g=840kg508g
924	353978400mg-119911000mg-□kg=113067400mg	24秒+181秒-84秒=□秒
925	12m72cm+2m88cm3mm-□cm=7m48cm3mm	354416900mm+569km599m75cm+□km=1736km16m65cm
926	356576640mg-□kg=162kg576g640mg	253g800mg-□g=59g800mg
927	171631600mm+□km=362631600mm	□km+113km938m50cm+14404630mm=319km343m13cm
928	366577130mg+112243000mg+□kg=923kg820g130mg	75000g+□kg=520000g
929	367021326mg-□kg-30kg885g450mg=113135876mg	91970m+88494m+□km=403464m
930	387363900mm-□km=85km363m90cm	245478070mg+186kg337g683mg-□kg=129kg815g753mg
931	654800mm+154100mm-104m90cm=□m	389957590mg+□kg=1093kg957g590mg
932	132kg374g+□kg=392374000mg	312733分+□日=687133分
933	1000mm+□mm+5cm=1257mm	396697170mg-□kg=189kg697g170mg
934	□kg+51080g=532080g	399139960mm+163km828m67cm6mm-81968636mm=□km
935	187m70cm+401000mm-□m=145700mm	□kg+408672000mg=851kg672g
936	251m40cm+606691mm-427m9cm1mm=□m	1194kg901g200mg-□kg-429788200mg=334113000mg
937	119120192mg+104kg352g680mg+□kg=432472872mg	107mg+172mg-70mg=□mg
938	20773mg+197g180mg+□g=455953mg	442820898mg-□kg=204820898mg
939	□kg+444707200mg+439213000mg=1446kg920g200mg	1000km+500km-□km=937km
940	□秒+240秒=543秒	447696739mg-134kg287g39mg-10409700mg=□kg
941	177329060mg+□kg=454329060mg	53097cm-14597cm-□m=108m
942	1411kg186g-□kg=457186000mg	□g+516g836mg=1kg470g836mg
943	480日14時間-□日-250440分=180960分	119738736mg+166248000mg+□kg=466986736mg
944	2126137秒-677280秒-□時間=487657秒	475518720mg-□kg=208518720mg
945	513kg500g+54740g-137240g=□kg	481172000mm+114km37m17cm-□km=164209170mm
946	□kg+32210722mg+192kg353g751mg=481564473mg	394725g-96725g-□kg=41kg
947	490856000mg-□kg=199856000mg	631900mg-93g-□g=247900mg
948	503151172mg-233966000mg-5185172mg=□kg	604km260m32cm-□km-137km683m70cm=202km576m62cm
949	197km824m+□km=507824000mm	161g+□g+33g682mg=504682mg
950	211日6時間58分+□日=45298680秒	508377002mg-124kg239g-□kg=71138002mg
951	195m+639278mm-415278mm=□m	□kg+97kg974g377mg=516974377mg
952	1089cm-□cm-100cm=4m40cm	167kg793g40mg+530379970mg-□kg=149kg173g10mg
953	490km672m+□km+560603300mm=1864km275m30cm	116520秒-□分-32700秒=35040秒
954	42m+372911mm+□m=987911mm	573000000mg=□kg
955	552m81cm3mm+□m+363m13cm=1km729m94cm3mm	587294483mg+303339120mg-□kg=76kg633g603mg
956	4km636m+886km840m-□km=343476m	598389300mm-□km=50389300mm
957	2580秒+47904秒-22884秒=□分	622071190mg+34637700mg-□kg=196708890mg
958	258500g+□kg+269470g=859kg970g	638677600mm-□km=306677600mm
959	289kg487g+□kg+341kg90g=1391kg577g	53kg54g600mg+1362kg24g-□kg=654078600mg
960	76kg584g549mg+□kg=665584549mg	87日4時間+875日22時間-□日=374日2時間
961	220782044mg+□kg+117kg542g730mg=676324774mg	1g738mg-1g-400mg=□mg
962	□kg+712220000mg+567971000mg=2120kg191g	1874400秒+1177056秒+□時間=6075456秒
963	163日10時間8分+613502分-107230分=□日	722948600mg-□kg=207kg948g600mg
964	728656368mg-135kg847g568mg-□kg=48808800mg	□g=544g
965	761673270mg-□kg-312269000mg=95kg404g270mg	270000m+□km+227700m=851km700m
966	9170mm-3000mm-2150mm=□cm	56kg966g22mg+□kg+313746380mg=772712402mg
967	31166000mm+□km=780166000mm	749g=□g
968	786117000mg-□kg-317453000mg=116kg664g	995580分-223440分-265260分=□日
969	799000000mg=□kg	2004日12時間-643日-□日=562日12時間
970	3773日11時間14分+□時間+921日6時間20分=821295240秒	363653640秒+□時間=779324040秒
971	4分+8分55秒-117秒=□秒	827985900mm-□km=169985900mm
972	□mg=960mg	849396000mm+□km=1809km396m
973	9m11cm+4641mm-6m49cm1mm=□cm	79kg54g700mg+863670000mg-□kg=216724700mg
974	10921000mm+429km863m43cm8mm+□km=871784438mm	112100cm-270m-42000cm=□m
975	328日=□日	873348200mg-288996600mg-256kg351g600mg=□kg
976	891656000mg+127kg367g-459023000mg=□kg	□g+504000mg=1kg64g
977	661000mg=□g	□km+241km668m66cm8mm=902668668mm
978	1km286m70cm-143000mm-505700mm=□m	279825000mm+□km=917825000mm
979	924215366mm-□km-96350000mm=193865366mm	1183500mg-□g=549500mg
980	177km840m+□km+44123543mm=686963543mm	967382400mm-□km-230km650m44cm=271731960mm
981	992748000mg+53723000mg-□kg=509kg471g	□cm+3m90cm+1m90cm=11m17cm
982	□秒+9分=1318秒	□km+238km72m22cm=1016072220mm
983	137193915mm+339km267m33cm+□km=1041461245mm	501000g+□kg+560870g=1626870g
984	1088683115mg-233kg98g-□kg=48kg585g115mg	100kg607g400mg+□kg+547kg470g44mg=1455kg77g444mg
985	1104648200mg-128098200mg-372kg550g=□kg	225時間+□時間+240時間=1069時間
986	146kg750g100mg+□kg+273kg92g=1141842100mg	2025kg400g-618kg100g-□kg=685300g
987	4000mm+4320mm-2m86cm=□cm	1170088649mg-423kg117g540mg-200971109mg=□kg
988	231687235mg+□kg+460kg593g900mg=1321281135mg	1067451mg-□g-169g751mg=268700mg
989	□m+594m+1000m=2402m	518kg426g800mg+□kg=1326426800mg
990	3693km844m68cm+475757444cm+□km=1515941912cm	3491000mg+6630540mg+□g=16829540mg
991	350mg+1000mg-□mg=603mg	1530670000mm-471913000mm-□km=311757000mm
992	133kg+950kg-□kg=153kg	654804470mg+□kg+293kg179g550mg=1877984020mg
993	2028412282mg-□kg-714kg576g900mg=520kg835g382mg	1g30mg-□mg=237mg
994	2067175600mg-757kg544g600mg-367kg631g=□kg	1020km378m-□km=78km378m
995	942m60cm-□cm-358m=137m40cm	4911286200cm-□km=439286200cm
996	3327780時間+□日+1049448時間=321479日12時間	321041km587m90cm-94886km867m-□km=8705972090cm
997	748013000cm+□km+22796km630m=11812276000cm	55700km+85500km-53354km=□km
998	186546277g-28677kg-74169277g=□kg	13533798720秒-□日=72941日4時間32分
999	879630km=□km	4592693940秒+42786日20時間40分36秒-□日=689475576秒
1000	54885kg114g+□kg+65030360000mg=200575kg474g	131660kg-□kg=51000kg
